id;transcription;collection;period;publication_type;publication_year;publication_month;publication_day;publication_name;publication_country;publication_volume;publication_number;publication_pages;publication_reviewer;archive_name;archive_url;accessed;transcribed;annotated;comments
5;"One of the chief functions of the true fairy story is to excite sympathy. Whether they are princes, peasants, or inanimate objects (Was the immortal tin soldier an inanimate object?), the joys and sorrows of the heroes and heroines of fairyland will always be real to those persons, whatever their age may be, who love the fairy story, and regard it as the most delightful form of romance. Mr. Oscar Wilde, no doubt for excellent reasons, has chosen to present his fables in the form of fairy tales to a public which, though it should count among its numbers most persons who can appreciate delicate humour and an artistic literary manner, will assuredly not be composed of children. No child will sympathize at all with Mr. Wilde's Happy Prince when he is melted down by order of the Mayor and Corporation in obedience to the dictum of the art professor at the University that, since 'he is no longer beautiful, he is no longer useful'. Children do not care for satire, and the dominant spirit of these stories is satire---a bitter satire differing widely from that of Hans Andersen, whom Mr. Wilde's literary manner so constantly recalls to us. This quality of bitterness, however, does not repel the reader (except in the story of the 'Devoted Friend', which is at once the cleverest and least agreeable in the volume), inasmuch as Mr. Wilde always contrives to leave us at the
 end of every tale with a very pleasant sensation of the humorous. Perhaps the best example of Mr.Wilde's method is to be found in 'The Nightingale and the Rose'. Here the nightingale has sacrificed its life in order to obtain a red rose for the student. The student repairs with the nightingale's gift to the daughter of the Professor, in order to present the rose to her:

>'But the girl frowned. 'I am afraid it will not go with my dress', she answered; 'and besides, the Chamberlain's nephew has sent me some real jewels, and everybody knows that jewels cost far more than flower. '
>Then the student, having thrown away the rose, returns to a great dusty book, reflecting:---
>'What a silly thing Love is. It is not half as useful as Logic, for it does not prove anything, and it is always telling one of things that are not going to happen... In fact, it is quite unpractical, and, as in this age to be practical is everything, I shall go back to Philosophy and study Metaphysics'

It may be remarked in connexion with this story that, in order to get the desired effect at the conclusion, Mr. Wilde has gone dangerously near the region of sham sentiment. It is the only place in the book where his artistic sense has stumbled a little along with his natural history.";The Happy Prince and Other Tales;1;Original contemporary review;1888;10;20;The Saturday Review;United Kingdom;66;1721;472;;Karl Beckson;;2021-03-29;2021-03-29;2025-01-17;
14;"Very pretty are the fables that Mr. Oscar Wilde has here strung together, tender and graceful, and not without a touch of humor, as in Mother Duck who 'kept saying to herlittle ones, 'You will never be in society unless you can stand on your heads,' and every now and then she showed them how it was done. But the little ducks paid no attention. They were so young that they did not know what an advantage it is to be in society.""";The Happy Prince and Other Tales;1;Reprinted contemporary review;1888;8;25;The Boston Evening Transcript;United States of America;;17760;9;;Google Books;https://books.google.es/books?id=gXs-AAAAIBAJ&pg=PA9&dq=%22The+Happy+Prince+and+Other+Tales%22&article_id=3325,3765682&hl=en&sa=X&ved=2ahUKEwjxi_-xhYSLAxVJT6QEHYoAIm4Q6AF6BAgFEAI#v=onepage&q=%22The%20Happy%20Prince%22&f=false;2025-01-20;2025-01-20;2025-01-20;
15;"""Five Fairy Tales""—The Happy Prince, The Selfish Giant,  The Nightingale and the Rose, The Devoted Friend, The Remarkable Rocket—by Oscar Wilde, have just been published by Mr. Nutt. There are three full-page illustrations in the volume from the pencil of Walter Crane";The Happy Prince and Other Tales;1;Advertisement;1888;6;2;The Nation (Ireland);Ireland;XLVI;22;4;;Irish Newspaper Archives;;2025-01-20;2025-01-20;2025-01-20;
16;;The Happy Prince and Other Tales;1;Original contemporary review;1888;11;24;The Nation (Ireland);Ireland;XLVI;47;3;;Google Books;;2025-01-20;2025-01-20;2025-01-20;
17;"This is a clever book by a clever man, who has not yet altogether done justice to himself. Mr. Wilde can scarcely have intended these five tales, which (notably the first) are illustrated by Mr. Walter Crane and Mr. Jacomb Hood in a style which may be described as impressionism tempered by elegance, for boys and girls. Their note is melancholy, and a subtle sarcasm pervades them which will puzzle young readers. Take, as a specimen of this sarcasm, these two sentences from the first page of the first and best of the stories, ""The Happy Prince :’— He [the statue of the Prince] was very much admired indeed. ‘He is as beautiful as a weathercock,’ remarked one of the Town Councillors, who wished to gain a reputation for having artistic tastes; ‘only not quite so useful,’ he added, fearing lest people should think him unpractical, which he really was not.” Mr. Wilde’s sarcasm occasionally seems akin to cynicism, as in "" The Nightingale and the Rose,” which is a story of self-sacrifice wasted. The teaching conveyed in most of the tales, particularly in ""The Happy Prince,” ""The Selfish Giant,” and ""The Re- markable Rocket,” is essentially sound, being to the effect that unselfishness is moral beauty, and that vain display is moral ugliness. In the literature of fable, there has probably appeared nothing so pathetic as the story of the little swallow which is included in that of ""The Happy Prince.” The public will look forward with much interest to Mr. Oscar Wilde’s giving them a second instalment [sic] of his dainty wisdom.";The Happy Prince and Other Tales;1;Original contemporary review;1889;3;2;The Spectator;United Kingdom;62;3166;309;;Google Books;https://www.google.es/books/edition/The_Spectator/sLU-AQAAIAAJ?hl=en&gbpv=1&dq=%22The+Happy+Prince+and+Other+Tales%22&pg=RA1-PA309&printsec=frontcover;2025-01-20;2025-01-20;2025-01-20;
18;"Recent newspapers have brought the information that the authorities of the British Museum have with drawn from circulation all books written by Mr. Oscar Wilde. For this performance there has been applause on all sides. It has been hailed as a most righteous judgment and a noble act of justice. Preachers have approved, moralists have commended, the Prevention of Vice people have been loud in their praises and now the critics also come in with their cheers. For most of these there is the old excuse of utter and growling ignorance and on that score one must-we suppose-forgive them. In the present instance, however, it is cowardly and small. They have struck a man when he is down. They have kicked a body when life was nearly gone and they found pleasure in doing it-they-the erudite, the honest, the just critics.

As to certain criminal proceedings not long past, fortunately there can be but one opinion. But that Mr. Wilde may be guilty of all immoralities conceivable and inconceivable is neither here nor there. It is not the man but his work of which there is question. And sad precedentin the lives of Poe and Byron and Shelley-has lead us to see the necessity of disassociating a man from his work. In truth much of Mr. Wilde's writing is immoral. The evidence of immorality is not to be found in the records of any court of justice, however, but in the books themselves. ""The Picture of Dorian Grey,"" ""The Sphinx,"" and ""Salome"" are bad books. If the curators of the British Museum have failed in time past to see this it adds only to a belief in their stupidity. On the other hand the ""Poems,"" ""The House of Pomegranates,"" ""The Happy Prince and Other Tales"" are pure and charming. No man in our generation has written better fairy tales. These also the authorities have withdrawn from circulation.

If there ever was in any of Mr. Wilde's writings literary merit and beauty, which may perhaps originally have lead the Museum to purchase the works, the same merit and beauty still exist and will continue to exist. Once and for all, a book printed and given to the public has a life wholly its own and independent of the fortunes of its author. Even should we discover that Shakspeare himself had committed sins against a dozen decalogues, it would not alter by one hair's breadth the wonder of his poetry. This is a far cry, but the question is one of principle and justice and not of the values at stake. The performance of the curators of the British Museum is an act of bigoted and blind fury. It is narrow-minded and indiscriminating. One must protest.";The Happy Prince and Other Tales;2;Original contemporary review;1895;5;1;The Chap-book: Semi-monthly. A miscellany & review of belles lettres;United States of America;II;6;480–481;;HathiTrust Digital Library;https://hdl.handle.net/2027/uc1.$b200751?urlappend=%3Bseq=502%3Bownerid=9007199260630122-500;2025-01-20;2025-01-20;2025-01-20;
19;"In ""The Happy Prince and Other Tales” (Boston: Robert Bros.; Toronto: William-son & Co.) Oscar Wilde has shown himself to be an artist in imaginative writing, as well as in dress. In these five fairy tales he displays a delicate fancy and a power of narration almost surprising, and a touch of satire adds no little to the strength of his work. “The Devoted Friend” and “The Remarkable Rocket” are the best of the stories, but all are full of power. The book contains several charming illustrations by Walter Crane and J. Hood. ";The Happy Prince and Other Tales;1;Original contemporary review;1888;12;18;The Toronto Mail;Canada;XVI;7822;2;;Google Books;https://books.google.es/books?id=gudMAAAAIBAJ&pg=PA2&dq=%22The+Happy+Prince+and+Other+Tales%22&article_id=1419,1689291&hl=en&sa=X&ved=2ahUKEwjxi_-xhYSLAxVJT6QEHYoAIm4Q6AF6BAgGEAI#v=onepage&q=%22The%20Happy%20Prince%22&f=false;2025-01-20;2025-01-20;2025-01-20;
20;"BURLESQUES AND FATRY TALES.*
TliKRK would seem to _lu: quite _;i revival in I'airy literature. Within a very recent period many pretentious volumes have been published dealing with goblin and cllin lore—some treatises, almost scientific in their hard matter-of-fact, dry, grave, and serious analysis of the popular stories, pointing out the origin of them, detesting resemblances between them and Persian myths or Saga's songs, explaining andexploding with a vandalism that spares no illusions, however cherished or time-sanctified—others simply relating, as if with faith and credence, the legends whoso recital Iki.s for many an ago brightened tlio hearthsides and brought pleasure! not unmixed with ill-mastered dread to the hearts of successive generations of listeners. Into these latter, however, the spirit of modern utilitarianism—if it maybe styled so—has in a manner infused itself ; and in the cleft hands of the later reciter they bike a new character, hiding a moral or a sting under their seeming innocent guile_:lessne$s. Poor fairy and sprite, they have been in these latter days _remorselessly hauled into politics and chained to the wheel of its iron car. Few things now, indeed, are altogether what they seem ; something lurks under all the outward appearances, and, perhaps, one should not wonder that even the children's fairy tale should undergo the new influence and change like all things else. Just as, taught by sad necessity, we have, learned to search in almost everything for its cunningly hidden undermeaning or point, so one in reading the simplest composition is harassed at every stage by the oppressive self-suggested questions—Is that anything new 1 Is there any political reference in it? Is there any social grievance hinted at here ? Mr. Oscar Wilde with his ""Happy Prince"" and his ""Remarkable Rocket broke up new ground, and others have not been slow to follow him. Oftener than not, it is the case that the first in the field has the greatest success, and so it seems to be here. Mr. Frank Hudson is charming, bright, racy, humorous, and winning, but he lacks in some of his work that lightness of touch, _iiiriwss_, indelinable grace, and delicate fancy which are never wanting in Mr. Wilde. He has, though, qualities of his own, which in part, though not altogether, make up for the deficiency. One thing, he is less subtle ; his meaning is more easily apprehended. Yet, perhaps, by reason of this very circumstance lie _losers somewhat of his end ; his stories lie intends for ""little people and big,"" and precisely as they are more appropriate for childish reading through the simplicity nf the substance nnd the stvle of the narration, so are thev less suitable for elders, while on the other hand those which best lend themselves to ""reading between the lines,"" which have a weightier purpose as it were, in the same degree are less effective in interesting and delighting the young. In most of Oscar Wilde's fanciful and highly poetical work of the kind, it might bo said in all, such is his cunning and skill that the pleasure and the profit are so interlaced and combined that each story is equally good in either. But to say that Mr. Hudson falls short of him is not, after all, great censure. Indeed, no one could read these little stories and preserve an unfriendly critical attitude towards them. They are like good wine, they bear their own commendation with them and argument as to the excellence of the vintage is undreamt of. The first is, perhaps, the least meritorious performance ; vet it is highly ingenious in its conception, giving, as it dons, a novel and amusing explanation of the origin of that famous institution, the Plum Pudding. Tim Blink, the tinker, after a too long sojourn at the ""Two Tumblers,"" staggers homeward in an Euclidian-figured course, laden with Christmas gooel things ; over his shoulder, in a canvas bag, whoso two enrls his hands are occupied in catching-, he carries flour, sugar, raisins and currants, and eggs, under his arm a gammon of bacon, while from each side pocket protrudes the neck of a bottle of fruity old port and of brandy. Poor Tim, deceived by treacherous and frolicsome ""Jack Frost,"" takes a short cut across the frozen river, the ice gives way, and in another second he was the deepest thinker—no Hnher—you ever heard of. When he scrambles out bacon and wine arc gone, and the sack is wet through and through, so in despair he plies himself with the brandy, and becomes so maudlin that, "" to keep _th-?. nick warm,'' he twin's some, into it. At home at last, he is so treated by good Mrs. Blink that he flings away from him the cause of his misfortunes, the unfortunate sack, and where does it fall but into a pot then boiling on a fire. Midnight arrives, and with it fairies and Father Christmas, who in kindness waves over the pot an enchanting wand, joining its contents into a circular mass. And so when miserable Tim awakes in the morning he is conscious of a peculiar, novel, delicious odour, he rushes to the fire, and finds to his delight—the first Plum Pudding. In the second story, ""The Fairy of Fashion,"" there are hits that call to mind some of Thackeray's Christinas stories. (_Jhristalina, the pearl of the fairy court ladies, has one wish ungratilied—she would dress like a mortal fashionable beauty. How she. _succeeids in her vain desire;, and the ruin it entails on her, is shown in the progress of tho tale, which, by the way, contains more puns than any other. Here is an extract that, so far as an extract can, gives a pretty just specimen of the whole :—

All male fairyland was, of course, in love willi Christalinn, though slw <Iiiln't oarea little bit for any nf them_. Hut the queerest tiling of all was that t.h« linrriil, ugly Old Frog of lilack Pool was terribly smitten. Of course lie ought lo liavo. known lie could never mate with a fairy, nnd, above all, with Cluistaliiia, because she wouldn't have him, and told him so on several occasions. ""You nasty, slimy thing,"" she remarked at their last interview, ""why, yon haven't pot a heart."" Which was strictly true. Yet, heartless as he was, lie loved her madly. There are inany human

_tmu_*.

"" Besides,"" she continued, "" you are mortal—that is, you are visible to mortal eyes, except when you dive beneath your dirty Black Pool, and even then you can't disappear for long. Why, yon can't even fly like me."" Ami nway she flew like anything, _leaving the Frog croaking; with _ih-spair. "" So,"" he muttered, "" I'm not flv enough for her. ain't I ?'' Here Ins MtAnpcd up a large Bluebottle that hail lit on a leaf beside him.";The Happy Prince and Other Tales;1;Original contemporary review;1888;12;8;The Nation (Ireland);Ireland;XLVI;49;4;;Irish Newspaper Archives;;2025-01-21;;2025-01-21;
22;"Mr. Oscar Wilde's graceful fancies will please many people, both great and small, whot urn the pages of 'The Happy Orince, and Other Tales'(David Nutt) in search of amusement. Here, in new language and clothed in fresh raiment, are some of the good young kings, the talkative birds, beasts, and things with which all versed in fairy lore are familiar by long acquaintance. The swallow, for instance, in the frontispiece which Mr. Walter Crane has drawn for the white-bound volume, loved one of the river reeds,but deserted her in autumn because she was of such an obstinately stay-at-home disposition, and journeyed southward with much adventure. Then, again, we have a tale of a rose, a nightingale, and an enamoured student, 'wit hair as dark as the hyacinth blossom'—three pensive individualities not associated here for the first time. As for goblins, Mr. Wilde is a proclaimed enemy of them in any form, and as a professional despiser of giants he will have nothing to do with anay such; all his pages are tuneful and pretty, nearly everybody in them virtuous and happy, while the world wears perpetual holiday green under endless vistas of almond-blossomed thickets.";The Happy Prince and Other Tales;1;Original contemporary review;1888;7;19;The Daily Telegraph;United Kingdom;;10346;8;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/819301505/;2025-03-18;2025-03-18;2025-03-18;
23;There is a genuine poetical inspiration in Mr. Oscar Wilde's tales, which are published by Mr, David Nutt. The form into which he weaves his ideas is invariably graceful, while the moral, not obtrusively pointed, is yet sufficiently discernible, This dainty volume, bound in a fashion worthy of the text, is charmingly illustrated by Messrs. Walter Crane and Jacomb Hood. ;The Happy Prince and Other Tales;1;Original contemporary review;1888;6;20;The Morning Post;United Kingdom;;36195;5;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/409962069/;2025-03-18;2025-03-18;2025-03-18;
24;Enw llyfr Mr. Oscar Wilde ydyw *The Happy Prince and Other Tales*. Mae y bymthegfed gyfrol o'r. '*National Biography* wedi cyrhaedd yr enw Drake. Tybir y gorphenir y gwaith mewn 50 o gyfrolau.;The Happy Prince and Other Tales;1;Original contemporary review;1888;6;13;Y Genedl Gymreig: The Welsh Nation;United Kingdom;XII;589;7;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/388992652/;2025-03-18;2025-03-18;2025-03-18;
25;;The Happy Prince and Other Tales;2;Original contemporary review;1895;4;6;Western Mail;United Kingdom;;8074;6;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/817983447/;2025-03-23;;;
26;It is not often in these days that we come across good fairy tales which are not translations. English and American writers do not excel in imaginative literature. The scientific spirit of the nineteenth century has killed the creative spirit, and we even find children in these degenerate days who only like stories of ‘real people’ and who are growing up with no knowledge of the world of dreams and fancies, dead to anything that is not a hard, practical fact.  The fairy tales before us from the pen of Oscar Wilde are the best of his literary productions. They show that he can do something more than adore a sunflower and worship a lily and that he really does possess a delicate fancy and a fine imagination. There is a peculiar and fascinating charm about the dainty little yolume before us and every one of the five fairy tales it contains is delightful reading. First there is the story of “The Happy Prince,” with its pathetic account of the softening of his hard lead heart. Then there is the romantic story of ‘The Nightingale and the Rose,” the touching tale of ‘The Selfish Giant,”’ and lastly, “The Deyoted Friend” and “The Remarkable Rocket.” All the stories are allegorical and illustrate some moral truth, and are written with an artistic simplicity which makes them equally agreeable to young and old.;The Happy Prince and Other Tales;1;Original contemporary review;1888;9;22;The Boston Evening Transcript;United States of America;;17783;6;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/735164905/;2025-03-24;2025-03-25;2025-03-24;
27;"Oscar Wilde has not lost a bit of the style which recently brought him so prominently before the public. In his book, ""The Happy Prince and Other Tales,"" the reader will still discover the harmelss ideals of the knight of the sunflower. Dodd, Mead & Co., publishers. For sale in this city by Judd the bookseller";The Happy Prince and Other Tales;1;Original contemporary review;1888;12;21;The Morning Journal-Courier;United States of America;LVI;302;1;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/466104089/;2025-03-24;2025-03-24;;
29;"Since Hans Andersen published his last volume a more charming selection of stories than Mr. Oscar Wilde's 'Happy Prince and Other Tales' has not appeared. The lightness and delicacy of touch, the tenderness, the quaint humour with a soupçon of satire that is invariably clever, the gentleness and the unaffected pathos---all those characteristics which made Hans Andersen the 'most fascinating of story-writers, are to be found in every tale in the present collection. More worthy of remark still, is the foot that the spiritual feeling which runs through so many of Hans Andersen's stories is to be found in almost every page of Mr. Oscar Wilde's volume. That childlike simplicity and grace, so rarely to be met with in stories for children, but so indispensable to this form of literature, may also be found in every page, and entitle the author to be regarded as the most accomplished artist who has set about the difficult task of moulding these prose-poems to stimulate the imagination and to direct into right channels the overflowing fancy of young people. It might be thought that a writer like Mr. Wilde, who possesses so highly-cultured an artistic faculty, would overelaborate such a dainty little story as 'The Happy Prince', thereby giving it an artificial, if not an affected, tone; but the author proves himself to be so admirable an artist hat he even knows when to discard every semblance of art, and to appeal directly to the heart of an audience. This must be noticed in almost every story in the collection. There is no affectation of feeling--children are the first to perceive anything of this sort, and ecline to be moved by it to tears or even to thought--but the author is invariably in touch with the little circle gathered round him, and never lets a stilted or unnatural sentence escape from his lips. He never ceases to be entertaining, and this is equivalent to stating that he never becomes didactic. Children have to endure enough that is didactic without having their storybooks written in in this strain. As for the 'moral' in these tales it appears not at the end of each, like the red danger-signal at the end of a train--for people to avoid, but it is to be found in every sentence in the book. The child---nay, the mind, who does not feel the better for reading such a tale as 'The Happy Prince' is to be pitied. 'The Nightingale and the Rose' is not so pathetic, but it is equally clever. The 'moral' is Mr Oscar Wilde's satiric vein. The student who has been disappointed in love, exclaims, 'What a silly thing Love is! It is not half so useful as Logic, for it does not prove anything, and it is always telling one of things that are not going to happen and making one believe things that are not true. In fact, it is quite unpractical, and, as in this age to be practical is everything, I shall go back to Philosophy and study Metaphysics'… Nothing could be better than this, which may be accepted as an example of the quaint humour of the volume. The story of 'The Devoted Friend' is a charming satire upon the sentamentalists [sic]. 'The Remarkable Rocket' abounds in subtle touches of the same character, which cannot but be relished by old as well as young readers. The book is rendered additionally charming by the beautiful binding and the delicately-drawn illustrations by Mr Walter Crane and Jacomb Hood.";The Happy Prince and Other Tales;1;Original contemporary review;1888;7;3;Belfast News Letter;United Kingdom;CLI;22774;2;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/388182295/;2021-01-07;2021-01-07;2025-03-18;
30;"We have read worse fairy stories than '*The Happy Prince and Other Tales*' by Oscar Wilde (David Nutt), and many very much better. The masterpieces in the way of fairy stories have, surely, been already written; and no man can fairly hope, in this country, and at this period, to come near the great models. Fairy stories today must necessarily be ghosts and echoes of other fairy stories; and ghosts and echoes Mr. Wilde's stories are---ghosts of Hans Andersen, echoes of 'Carmen Sylva'. 'The Happy Prince' is the best; 'The Remarkable Rocket' the funniest. They are all well written, and they at least serve to show how admirably English printers can print if they try. The illustrations are by Messrs, Walter Crane and Jacomb Hood, and they too, are admirable. The shell of the book is excellent, the kernel somewhat insipid; or, to vary the metaphor, we may say that the jewel is out-valued by its setting.";The Happy Prince and Other Tales;1;Original contemporary review;1888;6;30;The Graphic: An Illustrated Weekly Newspaper;United Kingdom;XXXVIII;970;691;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/393810166/;2021-01-07;2021-01-07;2025-03-18;
31;"A very dainty little book has been produced by Mr. Oscar Wilde and Mr. Walter Crane, The stories are not very strong as to plot, but the style is delightful, easy, and flowing, and never ' precious’. The covert humour is of that better kind which comes so near to tears, The stories are scarcely for children, but rather for their grown-up admirers. What has a child to do with the rose which is perfected by the nightingale's self-sacrifice, who, for lore's sake, 'leans her breast until a thorn', and, dying, is absorbed into tho most beautiful rose in the world? Even the story of the selfish giant whose trees languish while the children are excluded, a story which ends with a suggestion of the legend of St. Christopher, is scarcely for children. But the great unsuitability lies in the note of wasted goodness, which is struck with a powerful hand. Virtue should never fail of its reward in a child's story; whereas Mr, Oscar Wilde has let his imagination play among the sad realities of life. The story of the miller in particular, with the fine talk about friendship and his cruel usage of his little friend, touches the deeper pathos of life: and when the generous devotion and self-forgetfulness of Hans ends in a swift and unheroic death---as the world counts heroism,---we recognise the irony of fate, which has no existence for a child. The self-importance of the miller and also of the Remarkable Rocket is full of clever hits at coxcombs, Mr. Oscar Wilde must have conceived the story of the Happy Prince as he sat one day in the enclosure which surrounds the Albert Memorial in Kensington Gardens, But our Golden Prince has not yet found out a way to make us happy by the disposal of his burnished surface. There are some of us who wish he would.";The Happy Prince and Other Tales;1;Original contemporary review;1888;6;25;The Manchester Guardian;United Kingdom;;13063;6;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/257837517/;2021-01-07;2021-01-07;2025-03-18;
32;"MR. OSCAR WILDE'S FAIRY TALES It would seem to be a very difficult task to be original in fairy tales---harder, even, than in most 'walks of literature', where, as Emerson reminded us, 'everything has been said before'. To write an original story for children---which shall at the same time be readable and amusing---the author of ' Alice in Wonderland ' has, perhaps, attained nearest, ir this generation, to that ideal of perfection. But Mr. Oscar Wilde, if he echoes Hans Andersen, echoes him very pleasantly. 'These five tales are all cleverly told, and contain some pretty flights of imagination, many quaint conceits, and plenty of smart sayings. If it was Andersen's one fault that he soared occasionally above the children's heads, no one will be inclined to blame Mr. Oscar Wilde for that---for is it not the fashion of the present day to write neither exclusively for children nor for 'grownups', but for both (or neither)? The stories have 'a moral', not & la Mrs. Sherwood, but daintily hidden, for, as Mr. Wilde makes a duck say to a linnet (in a tale called 'The Devoted Friend'), 'to tell a story with a moral is always a very dangerous thing to do'. 'Every good story-teller', a waterrat goes on to inform us, 'now-a-days starts with the end, and then goes on to the beginning, and concludes with the middle, That is the new method. I heard all about it the other day from a critic who was walking round the pond with a young man, He spoke of the matter at great length, and I am sure he must have been right, for he had blue spectacles and a bald head, and whenever the young man made any remark he always answered, 'Pooh!' A recipe is given for friendship in the same story, 'A true friend always says unpleasant things, and does not mind giving pain. Indeed, if he is a really true friend he prefers it, for he knows that then he is doing good'. Mr, Oscar Wilde is rather severe on young ladies of the present day. Here is an extract from the first story, 'The Happy Prince': ' A beautiful girl came out on the balcony with her lover. 'How wonderful the stars are;' he said to her, 'and how wonderfal is the power of love!' 'I hope my dress will be ready in time for the State ball', she answered; 'I have ordered passion-flowers to be embroidered on it; but the seamstresses are so lazy. ' A student listening to a nightingale, pulls a note-book and a lead pencil out of his pocket. 'She has form', be said to himself; 'has she got feeling? Tam afraid not; in fact, she is like most artists; she is all style, without any sincerity... , Still, it must be admitted that she has some beautiful notes in her voice, What a pity it is that they do not mean anything, or do any practical good!' It would be a shame to extract any more of the plums with which this little volume is filled, The book is very prettily got up, and the illustrations are by Mr. Walter Crane and Mr. Jacomb Hood. The author of the 'Baby's Opera' is, we need not say, an ideal illustrator of fairy tales; and some of the children in Mr. Jacomb Hood's vignettes seem to have stepped out of his pretty picture in this year's Grosvenor, Indeed, if we are not mistaken, one of the vignettes is a sketch of the leading group in that composition.";The Happy Prince and Other Tales;1;Original contemporary review;1888;6;4;The Pall Mall Gazette;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-01-07;2021-01-07;;
33;Those people who have known Oscar Wilde only as an eccentric esthete, writing 'soulfully intense' poetry, may perhaps be surprised to learn that he possesses true literary ability, which has shown itself from time to time in some really excellent work. Under the title of '*The Happy Prince, and Other Tales*', he has presented a collection of short fairy stories, some of which deserve to be classed with the best that has ever been written in that line. The style is excellent and the thought full of refinement, which finds expression in beautiful language. Perhaps the two most charming stories are the first one, which gives its name to the volume, and another, called 'The Selfish Giant'. The book is attractively bound in cloth covers of dainty coloring, and its artistic and appropriate illustrations, by Walter Craine and Jacomb Hood, add much to its value and beauty.;The Happy Prince and Other Tales;1;Original contemporary review;1888;10;6;The Public Opinion;United States of America;5;26;571;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uc1.c2649847&seq=705;2021-01-07;2021-01-07;2025-01-21;
34;"The Happy Prince, and other Tales ('The Nightingale and the Rose'; the 'Remarkable Rocket'; the 'Selfish Giant'; the 'Devoted Friend') the latest work of Oscar Wild [sic], the celebrated (but now reformed) English aesthete, comes out in a pretty volume, illustrated by Walter Crane and Jacomb Hood, in their peculiar and interesting manner. The stories are in every way charming, and will win and enchain the interest of all readers, and especially of young people. (Roberts Bros.)";The Happy Prince and Other Tales;1;Original contemporary review;1889;12;24;The American Bookseller;United States of America;XXIV;10;390;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=nyp.33433000084560&seq=706;2021-01-07;2021-01-07;2025-01-21;
35;Oscar Wilde has written some clever and readable fairy stories which are published under the title of 'The Happy Prince and other Tales' (Roberts, $1.00). The tales are, apparently, written with a purpose, and are champ's Career' and 'The Egoist'. The success of this edition indicates that the taste for Meredith is growing. The sign is a healthy one, for there are not many novelists whose books are so well worth reading. [Each, $1.50, Roberts.];The Happy Prince and Other Tales;1;Original contemporary review;1888;10;1;The Book Buyer: A Summary of American and Foreign Literature;United States of America;V;9;351;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=osu.32435070471842&seq=381;2021-01-07;2021-01-07;2025-01-21;
36;"That Mr Oscar Wilde is an 'æsthete' of course everybody knows, That he is a poet of remark. able sweetness, if somewhat of the fleshly school, all persons of culture know, 'That he is now the editor of a ladies' journal and is deeply concerned with matters of dress and fasbion is also no secret; but that he is a charming writer of fairy tales the present volume for the first time reveals. It is difficult to speak too highly of these tales. There are five of them, and each with a charm of its own, so that one can hardly decide which is best. The story of 'The Happy Prince' is the conception of a poet and the execution of an artist. Even still more poetical is 'The Nightingale and the Rose', a prose idyll with a most prosaic but truthful ending, 'The story of 'The Devoted Friend' is perhaps too much of a satire to be so well appreciated by young readers as it deserves, but it is very clever; while the story of 'The Remarkable Rocket' has a moral which the youngest who runs may read. The grace of Mr Oscar Wilde's narrative is not less conspicuous than the humour and shrewd sarcasm which sparkle through it. As a story-book this is most attractive in itself, but it is made still more so by the pencils of Walter Crane and Jacomb Hood, whose illustrations are exquisite. It is altogether the most delightful publication of the kind since last fairy tale season.";The Happy Prince and Other Tales;1;Original contemporary review;1888;7;16;The Glasgow Herald;United Kingdom;;169;4;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/409229887/;2021-01-07;2021-01-07;2025-03-18;
